SimTime, SysTime, NodeID, BlockID, ParentBlockID, Height, Content, Place
6038,17,3,21,20,-1,{23;3;30;27;8}, orphans
6038,17,3,23,13,-1,{18;11;17;23}, orphans
6038,17,3,16,15,-1,{3;30;27;8;10}, orphans
6038,17,3,24,18,-1,{3;30;27;8;10}, orphans
6038,17,3,25,23,-1,{3;30;27;8;10}, orphans
6038,17,4,16,15,4,{3;30;27;8;10}, blockchain
6038,17,4,15,9,3,{15;9;29;2;26}, blockchain
6038,17,4,9,2,2,{12;16;28;25;22}, blockchain
6038,17,4,2,-1,1,{24;5;21;13;7;19}, blockchain
6038,17,4,6,1,-1,{24;21;19;12;16}, orphans
6038,17,4,7,3,-1,{4;12;16;1;28}, orphans
6038,17,4,11,8,-1,{2;26;6;14}, orphans
6038,17,4,8,7,-1,{25;22;15;9;29}, orphans
6038,17,4,10,6,-1,{28;25;22;15;9}, orphans
6038,17,4,4,6,-1,{28;25;22;15;9}, orphans
6038,17,4,5,6,-1,{28;25;22;15;9}, orphans
6038,17,4,12,11,-1,{18;11;17;23}, orphans
6038,17,4,17,4,-1,{29;2;26;6}, orphans
6038,17,4,19,5,-1,{29;2;26;6}, orphans
6038,17,4,27,14,-1,{20}, orphans
6038,17,4,13,10,-1,{29;2;26;6}, orphans
6038,17,4,20,19,-1,{14;18;11;17}, orphans
6038,17,4,18,17,-1,{14;18;11;17}, orphans
6038,17,4,22,21,-1,{10;20}, orphans
6038,17,4,21,20,-1,{23;3;30;27;8}, orphans
6038,17,4,23,13,-1,{18;11;17;23}, orphans
6038,17,4,14,12,-1,{3;30;27;8;10}, orphans
6038,17,4,24,18,-1,{3;30;27;8;10}, orphans
6038,17,4,25,23,-1,{3;30;27;8;10}, orphans
6038,17,5,22,21,7,{10;20}, blockchain
6038,17,5,25,23,6,{3;30;27;8;10}, blockchain
6038,17,5,24,18,6,{3;30;27;8;10}, blockchain
6038,17,5,21,20,6,{23;3;30;27;8}, blockchain
6038,17,5,23,13,5,{18;11;17;23}, blockchain
6038,17,5,20,19,5,{14;18;11;17}, blockchain
6038,17,5,18,17,5,{14;18;11;17}, blockchain
6038,17,5,19,5,4,{29;2;26;6}, blockchain
6038,17,5,17,4,4,{29;2;26;6}, blockchain
6038,17,5,13,10,4,{29;2;26;6}, blockchain
6038,17,5,10,6,3,{28;25;22;15;9}, blockchain
6038,17,5,5,6,3,{28;25;22;15;9}, blockchain
6038,17,5,4,6,3,{28;25;22;15;9}, blockchain
6038,17,5,6,1,2,{24;21;19;12;16}, blockchain
6038,17,5,1,-1,1,{5;13;7;4;1}, blockchain
6038,17,5,7,3,-1,{4;12;16;1;28}, orphans
6038,17,5,11,8,-1,{2;26;6;14}, orphans
6038,17,5,8,7,-1,{25;22;15;9;29}, orphans
6038,17,5,12,11,-1,{18;11;17;23}, orphans
6038,17,5,9,2,-1,{12;16;28;25;22}, orphans
6038,17,5,15,9,-1,{15;9;29;2;26}, orphans
6038,17,5,27,14,-1,{20}, orphans
6038,17,5,16,15,-1,{3;30;27;8;10}, orphans
6038,17,5,14,12,-1,{3;30;27;8;10}, orphans
